point,recorded points,len,error,error angle
"(638, 125.5)","[(538, 483), (473, 616), (700, 427), (541, 439), (612, 405), (622, 313), (645, 408), (702, 416), (604, 308), (496, 406), (526, 334), (518, 281), (593, 263), (557, 282), (523, 606), (700, 492), (674, 349), (678, 330), (530, 418), (664, 482), (519, 297), (2118, 1055), (1867, 670), (1746, 626), (770, 343), (443, 448), (523, 412), (352, 496), (650, 455), (751, 585), (771, 319), (593, 482), (753, 336), (629, 421), (649, 385), (527, 493), (573, 323), (615, 463), (1110, 629), (1256, 679), (1285, 634), (1125, 797), (1227, 551), (1064, 689), (1366, 626), (1097, 684), (1178, 694), (973, 584), (1501, 468), (1568, 641), (1320, 559), (1426, 462), (1452, 586), (1505, 770), (1555, 698), (1607, 514), (1526, 653), (1437, 665), (1453, 519), (1593, 517), (438, 835), (506, 690), (395, 666), (333, 441), (370, 773), (438, 841), (489, 601), (320, 568), (400, 581), (320, 430), (390, 747), (333, 742), (342, 687), (507, 543), (494, 692), (699, 625), (751, 579), (655, 396), (722, 614), (586, 667), (547, 529), (709, 401), (776, 434), (703, 505), (917, 762), (1467, 722), (1136, 799), (1193, 671), (1110, 704), (1094, 743), (1098, 804), (1098, 731), (1114, 723), (1002, 832), (1214, 702), (1102, 730), (1008, 746), (1001, 790), (1538, 597), (1600, 837), (1606, 824), (1572, 798), (1612, 790), (1549, 814), (1648, 672), (1631, 849), (1720, 883), (686, 769), (840, 711), (853, 704), (906, 790), (889, 621), (873, 643), (894, 685), (872, 755), (893, 663), (875, 772), (851, 725), (807, 623), (831, 553), (846, 642), (807, 601), (989, 799), (1182, 737), (1297, 722), (1150, 777), (1323, 562), (1206, 793), (1312, 604), (1373, 643), (1142, 699), (1220, 763)]",132,"((297.9015151515151, 478.68181818181813))","(16.270563238895214, 3.281013247969296)"
"(1278, 125.5)","[(538, 483), (473, 616), (700, 427), (541, 439), (612, 405), (622, 313), (645, 408), (702, 416), (604, 308), (496, 406), (526, 334), (518, 281), (593, 263), (557, 282), (523, 606), (700, 492), (674, 349), (678, 330), (530, 418), (664, 482), (519, 297), (2118, 1055), (1867, 670), (1746, 626), (770, 343), (443, 448), (523, 412), (352, 496), (650, 455), (751, 585), (771, 319), (593, 482), (753, 336), (629, 421), (649, 385), (527, 493), (573, 323), (615, 463), (1110, 629), (1256, 679), (1285, 634), (1125, 797), (1227, 551), (1064, 689), (1366, 626), (1097, 684), (1178, 694), (973, 584), (1501, 468), (1568, 641), (1320, 559), (1426, 462), (1452, 586), (1505, 770), (1555, 698), (1607, 514), (1526, 653), (1437, 665), (1453, 519), (1593, 517), (438, 835), (506, 690), (395, 666), (333, 441), (370, 773), (438, 841), (489, 601), (320, 568), (400, 581), (320, 430), (390, 747), (333, 742), (342, 687), (507, 543), (494, 692), (699, 625), (751, 579), (655, 396), (722, 614), (586, 667), (547, 529), (709, 401), (776, 434), (703, 505), (917, 762), (1467, 722), (1136, 799), (1193, 671), (1110, 704), (1094, 743), (1098, 804), (1098, 731), (1114, 723), (1002, 832), (1214, 702), (1102, 730), (1008, 746), (1001, 790), (1538, 597), (1600, 837), (1606, 824), (1572, 798), (1612, 790), (1549, 814), (1648, 672), (1631, 849), (1720, 883), (686, 769), (840, 711), (853, 704), (906, 790), (889, 621), (873, 643), (894, 685), (872, 755), (893, 663), (875, 772), (851, 725), (807, 623), (831, 553), (846, 642), (807, 601), (989, 799), (1182, 737), (1297, 722), (1150, 777), (1323, 562), (1206, 793), (1312, 604), (1373, 643), (1142, 699), (1220, 763)]",132,"((342.0984848484849, 478.68181818181813))","(30.312291016511033, 3.281013247969296)"
"(150.5, 260.5)","[(538, 483), (473, 616), (700, 427), (541, 439), (612, 405), (622, 313), (645, 408), (702, 416), (604, 308), (496, 406), (526, 334), (518, 281), (593, 263), (557, 282), (523, 606), (700, 492), (674, 349), (678, 330), (530, 418), (664, 482), (519, 297), (2118, 1055), (1867, 670), (1746, 626), (770, 343), (443, 448), (523, 412), (352, 496), (650, 455), (751, 585), (771, 319), (593, 482), (753, 336), (629, 421), (649, 385), (527, 493), (573, 323), (615, 463), (1110, 629), (1256, 679), (1285, 634), (1125, 797), (1227, 551), (1064, 689), (1366, 626), (1097, 684), (1178, 694), (973, 584), (1501, 468), (1568, 641), (1320, 559), (1426, 462), (1452, 586), (1505, 770), (1555, 698), (1607, 514), (1526, 653), (1437, 665), (1453, 519), (1593, 517), (438, 835), (506, 690), (395, 666), (333, 441), (370, 773), (438, 841), (489, 601), (320, 568), (400, 581), (320, 430), (390, 747), (333, 742), (342, 687), (507, 543), (494, 692), (699, 625), (751, 579), (655, 396), (722, 614), (586, 667), (547, 529), (709, 401), (776, 434), (703, 505), (917, 762), (1467, 722), (1136, 799), (1193, 671), (1110, 704), (1094, 743), (1098, 804), (1098, 731), (1114, 723), (1002, 832), (1214, 702), (1102, 730), (1008, 746), (1001, 790), (1538, 597), (1600, 837), (1606, 824), (1572, 798), (1612, 790), (1549, 814), (1648, 672), (1631, 849), (1720, 883), (686, 769), (840, 711), (853, 704), (906, 790), (889, 621), (873, 643), (894, 685), (872, 755), (893, 663), (875, 772), (851, 725), (807, 623), (831, 553), (846, 642), (807, 601), (989, 799), (1182, 737), (1297, 722), (1150, 777), (1323, 562), (1206, 793), (1312, 604), (1373, 643), (1142, 699), (1220, 763)]",132,"((785.4015151515151, 343.68181818181813))","(3.9385147051690854, 6.785935576573872)"
"(630.5, 260.5)","[(538, 483), (473, 616), (700, 427), (541, 439), (612, 405), (622, 313), (645, 408), (702, 416), (604, 308), (496, 406), (526, 334), (518, 281), (593, 263), (557, 282), (523, 606), (700, 492), (674, 349), (678, 330), (530, 418), (664, 482), (519, 297), (2118, 1055), (1867, 670), (1746, 626), (770, 343), (443, 448), (523, 412), (352, 496), (650, 455), (751, 585), (771, 319), (593, 482), (753, 336), (629, 421), (649, 385), (527, 493), (573, 323), (615, 463), (1110, 629), (1256, 679), (1285, 634), (1125, 797), (1227, 551), (1064, 689), (1366, 626), (1097, 684), (1178, 694), (973, 584), (1501, 468), (1568, 641), (1320, 559), (1426, 462), (1452, 586), (1505, 770), (1555, 698), (1607, 514), (1526, 653), (1437, 665), (1453, 519), (1593, 517), (438, 835), (506, 690), (395, 666), (333, 441), (370, 773), (438, 841), (489, 601), (320, 568), (400, 581), (320, 430), (390, 747), (333, 742), (342, 687), (507, 543), (494, 692), (699, 625), (751, 579), (655, 396), (722, 614), (586, 667), (547, 529), (709, 401), (776, 434), (703, 505), (917, 762), (1467, 722), (1136, 799), (1193, 671), (1110, 704), (1094, 743), (1098, 804), (1098, 731), (1114, 723), (1002, 832), (1214, 702), (1102, 730), (1008, 746), (1001, 790), (1538, 597), (1600, 837), (1606, 824), (1572, 798), (1612, 790), (1549, 814), (1648, 672), (1631, 849), (1720, 883), (686, 769), (840, 711), (853, 704), (906, 790), (889, 621), (873, 643), (894, 685), (872, 755), (893, 663), (875, 772), (851, 725), (807, 623), (831, 553), (846, 642), (807, 601), (989, 799), (1182, 737), (1297, 722), (1150, 777), (1323, 562), (1206, 793), (1312, 604), (1373, 643), (1142, 699), (1220, 763)]",132,"((305.4015151515151, 343.68181818181813))","(16.08924638622383, 6.785935576573872)"
"(1270.5, 260.5)","[(538, 483), (473, 616), (700, 427), (541, 439), (612, 405), (622, 313), (645, 408), (702, 416), (604, 308), (496, 406), (526, 334), (518, 281), (593, 263), (557, 282), (523, 606), (700, 492), (674, 349), (678, 330), (530, 418), (664, 482), (519, 297), (2118, 1055), (1867, 670), (1746, 626), (770, 343), (443, 448), (523, 412), (352, 496), (650, 455), (751, 585), (771, 319), (593, 482), (753, 336), (629, 421), (649, 385), (527, 493), (573, 323), (615, 463), (1110, 629), (1256, 679), (1285, 634), (1125, 797), (1227, 551), (1064, 689), (1366, 626), (1097, 684), (1178, 694), (973, 584), (1501, 468), (1568, 641), (1320, 559), (1426, 462), (1452, 586), (1505, 770), (1555, 698), (1607, 514), (1526, 653), (1437, 665), (1453, 519), (1593, 517), (438, 835), (506, 690), (395, 666), (333, 441), (370, 773), (438, 841), (489, 601), (320, 568), (400, 581), (320, 430), (390, 747), (333, 742), (342, 687), (507, 543), (494, 692), (699, 625), (751, 579), (655, 396), (722, 614), (586, 667), (547, 529), (709, 401), (776, 434), (703, 505), (917, 762), (1467, 722), (1136, 799), (1193, 671), (1110, 704), (1094, 743), (1098, 804), (1098, 731), (1114, 723), (1002, 832), (1214, 702), (1102, 730), (1008, 746), (1001, 790), (1538, 597), (1600, 837), (1606, 824), (1572, 798), (1612, 790), (1549, 814), (1648, 672), (1631, 849), (1720, 883), (686, 769), (840, 711), (853, 704), (906, 790), (889, 621), (873, 643), (894, 685), (872, 755), (893, 663), (875, 772), (851, 725), (807, 623), (831, 553), (846, 642), (807, 601), (989, 799), (1182, 737), (1297, 722), (1150, 777), (1323, 562), (1206, 793), (1312, 604), (1373, 643), (1142, 699), (1220, 763)]",132,"((334.5984848484849, 343.68181818181813))","(30.165566897805345, 6.785935576573872)"
"(1750.5, 260.5)","[(538, 483), (473, 616), (700, 427), (541, 439), (612, 405), (622, 313), (645, 408), (702, 416), (604, 308), (496, 406), (526, 334), (518, 281), (593, 263), (557, 282), (523, 606), (700, 492), (674, 349), (678, 330), (530, 418), (664, 482), (519, 297), (2118, 1055), (1867, 670), (1746, 626), (770, 343), (443, 448), (523, 412), (352, 496), (650, 455), (751, 585), (771, 319), (593, 482), (753, 336), (629, 421), (649, 385), (527, 493), (573, 323), (615, 463), (1110, 629), (1256, 679), (1285, 634), (1125, 797), (1227, 551), (1064, 689), (1366, 626), (1097, 684), (1178, 694), (973, 584), (1501, 468), (1568, 641), (1320, 559), (1426, 462), (1452, 586), (1505, 770), (1555, 698), (1607, 514), (1526, 653), (1437, 665), (1453, 519), (1593, 517), (438, 835), (506, 690), (395, 666), (333, 441), (370, 773), (438, 841), (489, 601), (320, 568), (400, 581), (320, 430), (390, 747), (333, 742), (342, 687), (507, 543), (494, 692), (699, 625), (751, 579), (655, 396), (722, 614), (586, 667), (547, 529), (709, 401), (776, 434), (703, 505), (917, 762), (1467, 722), (1136, 799), (1193, 671), (1110, 704), (1094, 743), (1098, 804), (1098, 731), (1114, 723), (1002, 832), (1214, 702), (1102, 730), (1008, 746), (1001, 790), (1538, 597), (1600, 837), (1606, 824), (1572, 798), (1612, 790), (1549, 814), (1648, 672), (1631, 849), (1720, 883), (686, 769), (840, 711), (853, 704), (906, 790), (889, 621), (873, 643), (894, 685), (872, 755), (893, 663), (875, 772), (851, 725), (807, 623), (831, 553), (846, 642), (807, 601), (989, 799), (1182, 737), (1297, 722), (1150, 777), (1323, 562), (1206, 793), (1312, 604), (1373, 643), (1142, 699), (1220, 763)]",132,"((814.5984848484849, 343.68181818181813))","(38.687501053787074, 6.785935576573872)"
"(150.5, 530.5)","[(538, 483), (473, 616), (700, 427), (541, 439), (612, 405), (622, 313), (645, 408), (702, 416), (604, 308), (496, 406), (526, 334), (518, 281), (593, 263), (557, 282), (523, 606), (700, 492), (674, 349), (678, 330), (530, 418), (664, 482), (519, 297), (2118, 1055), (1867, 670), (1746, 626), (770, 343), (443, 448), (523, 412), (352, 496), (650, 455), (751, 585), (771, 319), (593, 482), (753, 336), (629, 421), (649, 385), (527, 493), (573, 323), (615, 463), (1110, 629), (1256, 679), (1285, 634), (1125, 797), (1227, 551), (1064, 689), (1366, 626), (1097, 684), (1178, 694), (973, 584), (1501, 468), (1568, 641), (1320, 559), (1426, 462), (1452, 586), (1505, 770), (1555, 698), (1607, 514), (1526, 653), (1437, 665), (1453, 519), (1593, 517), (438, 835), (506, 690), (395, 666), (333, 441), (370, 773), (438, 841), (489, 601), (320, 568), (400, 581), (320, 430), (390, 747), (333, 742), (342, 687), (507, 543), (494, 692), (699, 625), (751, 579), (655, 396), (722, 614), (586, 667), (547, 529), (709, 401), (776, 434), (703, 505), (917, 762), (1467, 722), (1136, 799), (1193, 671), (1110, 704), (1094, 743), (1098, 804), (1098, 731), (1114, 723), (1002, 832), (1214, 702), (1102, 730), (1008, 746), (1001, 790), (1538, 597), (1600, 837), (1606, 824), (1572, 798), (1612, 790), (1549, 814), (1648, 672), (1631, 849), (1720, 883), (686, 769), (840, 711), (853, 704), (906, 790), (889, 621), (873, 643), (894, 685), (872, 755), (893, 663), (875, 772), (851, 725), (807, 623), (831, 553), (846, 642), (807, 601), (989, 799), (1182, 737), (1297, 722), (1150, 777), (1323, 562), (1206, 793), (1312, 604), (1373, 643), (1142, 699), (1220, 763)]",132,"((785.4015151515151, 73.68181818181813))","(3.9385147051690854, 13.621741111609907)"
"(630.5, 530.5)","[(538, 483), (473, 616), (700, 427), (541, 439), (612, 405), (622, 313), (645, 408), (702, 416), (604, 308), (496, 406), (526, 334), (518, 281), (593, 263), (557, 282), (523, 606), (700, 492), (674, 349), (678, 330), (530, 418), (664, 482), (519, 297), (2118, 1055), (1867, 670), (1746, 626), (770, 343), (443, 448), (523, 412), (352, 496), (650, 455), (751, 585), (771, 319), (593, 482), (753, 336), (629, 421), (649, 385), (527, 493), (573, 323), (615, 463), (1110, 629), (1256, 679), (1285, 634), (1125, 797), (1227, 551), (1064, 689), (1366, 626), (1097, 684), (1178, 694), (973, 584), (1501, 468), (1568, 641), (1320, 559), (1426, 462), (1452, 586), (1505, 770), (1555, 698), (1607, 514), (1526, 653), (1437, 665), (1453, 519), (1593, 517), (438, 835), (506, 690), (395, 666), (333, 441), (370, 773), (438, 841), (489, 601), (320, 568), (400, 581), (320, 430), (390, 747), (333, 742), (342, 687), (507, 543), (494, 692), (699, 625), (751, 579), (655, 396), (722, 614), (586, 667), (547, 529), (709, 401), (776, 434), (703, 505), (917, 762), (1467, 722), (1136, 799), (1193, 671), (1110, 704), (1094, 743), (1098, 804), (1098, 731), (1114, 723), (1002, 832), (1214, 702), (1102, 730), (1008, 746), (1001, 790), (1538, 597), (1600, 837), (1606, 824), (1572, 798), (1612, 790), (1549, 814), (1648, 672), (1631, 849), (1720, 883), (686, 769), (840, 711), (853, 704), (906, 790), (889, 621), (873, 643), (894, 685), (872, 755), (893, 663), (875, 772), (851, 725), (807, 623), (831, 553), (846, 642), (807, 601), (989, 799), (1182, 737), (1297, 722), (1150, 777), (1323, 562), (1206, 793), (1312, 604), (1373, 643), (1142, 699), (1220, 763)]",132,"((305.4015151515151, 73.68181818181813))","(16.08924638622383, 13.621741111609907)"
"(1270.5, 530.5)","[(538, 483), (473, 616), (700, 427), (541, 439), (612, 405), (622, 313), (645, 408), (702, 416), (604, 308), (496, 406), (526, 334), (518, 281), (593, 263), (557, 282), (523, 606), (700, 492), (674, 349), (678, 330), (530, 418), (664, 482), (519, 297), (2118, 1055), (1867, 670), (1746, 626), (770, 343), (443, 448), (523, 412), (352, 496), (650, 455), (751, 585), (771, 319), (593, 482), (753, 336), (629, 421), (649, 385), (527, 493), (573, 323), (615, 463), (1110, 629), (1256, 679), (1285, 634), (1125, 797), (1227, 551), (1064, 689), (1366, 626), (1097, 684), (1178, 694), (973, 584), (1501, 468), (1568, 641), (1320, 559), (1426, 462), (1452, 586), (1505, 770), (1555, 698), (1607, 514), (1526, 653), (1437, 665), (1453, 519), (1593, 517), (438, 835), (506, 690), (395, 666), (333, 441), (370, 773), (438, 841), (489, 601), (320, 568), (400, 581), (320, 430), (390, 747), (333, 742), (342, 687), (507, 543), (494, 692), (699, 625), (751, 579), (655, 396), (722, 614), (586, 667), (547, 529), (709, 401), (776, 434), (703, 505), (917, 762), (1467, 722), (1136, 799), (1193, 671), (1110, 704), (1094, 743), (1098, 804), (1098, 731), (1114, 723), (1002, 832), (1214, 702), (1102, 730), (1008, 746), (1001, 790), (1538, 597), (1600, 837), (1606, 824), (1572, 798), (1612, 790), (1549, 814), (1648, 672), (1631, 849), (1720, 883), (686, 769), (840, 711), (853, 704), (906, 790), (889, 621), (873, 643), (894, 685), (872, 755), (893, 663), (875, 772), (851, 725), (807, 623), (831, 553), (846, 642), (807, 601), (989, 799), (1182, 737), (1297, 722), (1150, 777), (1323, 562), (1206, 793), (1312, 604), (1373, 643), (1142, 699), (1220, 763)]",132,"((334.5984848484849, 73.68181818181813))","(30.165566897805345, 13.621741111609907)"
"(1750.5, 530.5)","[(538, 483), (473, 616), (700, 427), (541, 439), (612, 405), (622, 313), (645, 408), (702, 416), (604, 308), (496, 406), (526, 334), (518, 281), (593, 263), (557, 282), (523, 606), (700, 492), (674, 349), (678, 330), (530, 418), (664, 482), (519, 297), (2118, 1055), (1867, 670), (1746, 626), (770, 343), (443, 448), (523, 412), (352, 496), (650, 455), (751, 585), (771, 319), (593, 482), (753, 336), (629, 421), (649, 385), (527, 493), (573, 323), (615, 463), (1110, 629), (1256, 679), (1285, 634), (1125, 797), (1227, 551), (1064, 689), (1366, 626), (1097, 684), (1178, 694), (973, 584), (1501, 468), (1568, 641), (1320, 559), (1426, 462), (1452, 586), (1505, 770), (1555, 698), (1607, 514), (1526, 653), (1437, 665), (1453, 519), (1593, 517), (438, 835), (506, 690), (395, 666), (333, 441), (370, 773), (438, 841), (489, 601), (320, 568), (400, 581), (320, 430), (390, 747), (333, 742), (342, 687), (507, 543), (494, 692), (699, 625), (751, 579), (655, 396), (722, 614), (586, 667), (547, 529), (709, 401), (776, 434), (703, 505), (917, 762), (1467, 722), (1136, 799), (1193, 671), (1110, 704), (1094, 743), (1098, 804), (1098, 731), (1114, 723), (1002, 832), (1214, 702), (1102, 730), (1008, 746), (1001, 790), (1538, 597), (1600, 837), (1606, 824), (1572, 798), (1612, 790), (1549, 814), (1648, 672), (1631, 849), (1720, 883), (686, 769), (840, 711), (853, 704), (906, 790), (889, 621), (873, 643), (894, 685), (872, 755), (893, 663), (875, 772), (851, 725), (807, 623), (831, 553), (846, 642), (807, 601), (989, 799), (1182, 737), (1297, 722), (1150, 777), (1323, 562), (1206, 793), (1312, 604), (1373, 643), (1142, 699), (1220, 763)]",132,"((814.5984848484849, 73.68181818181813))","(38.687501053787074, 13.621741111609907)"
