point,recorded points,len,error,error angle X,error angle Y
"(638, 125.5)","[(811.000, 420.000), (915.000, 342.000), (800.000, 417.000), (847.000, 372.000), (944.000, 311.000), (899.000, 319.000)]",6,"(231.333, 238.000)",6.041,6.041
"(1278, 125.5)","[(1705.000, 329.000), (1763.000, 438.000), (1768.000, 479.000), (1776.000, 547.000), (1923.000, 608.000), (1847.000, 478.000), (1826.000, 494.000), (1782.000, 486.000)]",8,"(520.750, 356.875)",13.400,13.400
"(150.5, 260.5)","[(547.000, 384.000), (556.000, 382.000), (374.000, 316.000), (480.000, 398.000), (595.000, 458.000), (464.000, 350.000), (542.000, 387.000)]",7,"(357.786, 121.643)",9.295,9.295
"(630.5, 260.5)","[(597.000, 563.000), (741.000, 449.000), (608.000, 574.000), (665.000, 530.000), (592.000, 598.000), (621.000, 576.000), (602.000, 598.000), (698.000, 507.000), (678.000, 514.000)]",9,"(14.167, 284.944)",0.371,0.371
"(1270.5, 260.5)","[(1533.000, 273.000), (1753.000, 364.000), (1666.000, 542.000), (1709.000, 449.000), (1798.000, 486.000), (1830.000, 491.000), (1816.000, 592.000)]",7,"(458.786, 196.214)",11.853,11.853
"(1750.5, 260.5)","[(2429.000, 1091.000), (2378.000, 930.000), (2491.000, 1055.000), (2384.000, 1006.000), (2349.000, 968.000), (2473.000, 1087.000)]",6,"(666.833, 762.333)",16.964,16.964
"(150.5, 530.5)","[(483.000, 356.000), (325.000, 613.000), (325.000, 578.000), (453.000, 348.000), (420.000, 323.000), (386.000, 308.000)]",6,"(248.167, 109.500)",6.477,6.477
"(630.5, 530.5)","[(695.000, 485.000), (976.000, 312.000), (804.000, 432.000), (725.000, 477.000), (653.000, 536.000)]",5,"(140.100, 82.100)",3.667,3.667
"(1270.5, 530.5)","[(1894.000, 554.000), (1627.000, 296.000), (1680.000, 466.000), (1670.000, 337.000), (1630.000, 417.000), (1693.000, 517.000), (1669.000, 378.000), (1745.000, 421.000)]",8,"(430.500, 107.250)",11.141,11.141
"(1750.5, 530.5)","[(1726.000, 444.000), (2199.000, 850.000), (2122.000, 754.000), (2190.000, 905.000), (2189.000, 995.000), (2276.000, 975.000), (2077.000, 723.000), (2189.000, 920.000)]",8,"(370.500, 290.250)",9.620,9.620
"(150.5, 800.5)","[(334.000, 614.000), (324.000, 786.000), (447.000, 502.000), (361.000, 628.000), (371.000, 303.000), (398.000, 568.000)]",6,"(222.000, 233.667)",5.799,5.799
"(630.5, 800.5)","[(793.000, 410.000), (1081.000, 349.000), (913.000, 365.000), (1019.000, 309.000), (998.000, 309.000), (973.000, 392.000), (1000.000, 352.000), (743.000, 479.000), (793.000, 471.000), (870.000, 480.000), (742.000, 474.000), (600.000, 591.000)]",12,"(246.583, 385.417)",6.436,6.436
"(1270.5, 800.5)","[(1036.000, 352.000), (1621.000, 307.000), (1748.000, 537.000), (1530.000, 607.000), (1644.000, 407.000), (1544.000, 477.000), (1444.000, 690.000), (1564.000, 447.000), (1501.000, 540.000), (1275.000, 496.000)]",10,"(220.200, 314.500)",5.752,5.752
"(1750.5, 800.5)","[(2100.000, 925.000), (2248.000, 994.000), (2237.000, 984.000), (2124.000, 1029.000), (2276.000, 1007.000), (2132.000, 956.000), (2250.000, 993.000)]",7,"(444.786, 183.500)",11.501,11.501
"(638, 935.5)","[(928.000, 300.000), (872.000, 441.000), (969.000, 473.000), (976.000, 398.000), (920.000, 422.000), (844.000, 489.000), (870.000, 505.000), (969.000, 488.000)]",8,"(280.500, 496.000)",7.312,7.312
"(1278, 935.5)","[(767.000, 429.000), (1298.000, 601.000), (1558.000, 397.000), (1624.000, 687.000), (1359.000, 524.000), (1630.000, 540.000), (1284.000, 566.000)]",7,"(82.000, 400.643)",2.148,2.148
